,Driver,LapTime,LapNumber,Stint,Compound,TyreLife,LapNumber,Sector1Time,Sector2Time,Sector3Time,LapTime(s),Sector1Time(s),Sector2Time(s),Sector3Time(s),RollingAverageLap
80,GAS,0 days 00:01:20.282000,3.0,1.0,HARD,3.0,3.0,0 days 00:00:21.121000,0 days 00:00:37.704000,0 days 00:00:21.457000,80.282,21.121,37.704,21.457,80.459
81,GAS,0 days 00:01:19.577000,4.0,1.0,HARD,4.0,4.0,0 days 00:00:20.966000,0 days 00:00:37.533000,0 days 00:00:21.078000,79.577,20.966,37.533,21.078,80.165
82,GAS,0 days 00:01:18.893000,5.0,1.0,HARD,5.0,5.0,0 days 00:00:20.723000,0 days 00:00:37.119000,0 days 00:00:21.051000,78.893,20.723,37.119,21.051,79.847
83,GAS,0 days 00:01:18.842000,6.0,1.0,HARD,6.0,6.0,0 days 00:00:20.676000,0 days 00:00:37.099000,0 days 00:00:21.067000,78.842,20.676,37.099,21.067,79.646
84,GAS,0 days 00:01:18.604000,7.0,1.0,HARD,7.0,7.0,0 days 00:00:20.648000,0 days 00:00:36.798000,0 days 00:00:21.158000,78.604,20.648,36.798,21.158,79.47233333333334
85,GAS,0 days 00:01:19.317000,8.0,1.0,HARD,8.0,8.0,0 days 00:00:20.688000,0 days 00:00:37.190000,0 days 00:00:21.439000,79.317,20.688,37.19,21.439,79.45014285714285
86,GAS,0 days 00:01:18.788000,9.0,1.0,HARD,9.0,9.0,0 days 00:00:20.685000,0 days 00:00:37.020000,0 days 00:00:21.083000,78.788,20.685,37.02,21.083,79.367375
87,GAS,0 days 00:01:18.310000,10.0,1.0,HARD,10.0,10.0,0 days 00:00:20.726000,0 days 00:00:36.677000,0 days 00:00:20.907000,78.31,20.726,36.677,20.907,79.24988888888889
88,GAS,0 days 00:01:18.367000,11.0,1.0,HARD,11.0,11.0,0 days 00:00:20.701000,0 days 00:00:36.865000,0 days 00:00:20.801000,78.367,20.701,36.865,20.801,79.16159999999999
89,GAS,0 days 00:01:18.582000,12.0,1.0,HARD,12.0,12.0,0 days 00:00:21.082000,0 days 00:00:36.748000,0 days 00:00:20.752000,78.582,21.082,36.748,20.752,79.1089090909091
90,GAS,0 days 00:01:17.713000,13.0,1.0,HARD,13.0,13.0,0 days 00:00:20.396000,0 days 00:00:36.581000,0 days 00:00:20.736000,77.713,20.396,36.581,20.736,78.99258333333333
91,GAS,0 days 00:01:18.564000,14.0,1.0,HARD,14.0,14.0,0 days 00:00:20.586000,0 days 00:00:36.827000,0 days 00:00:21.151000,78.564,20.586,36.827,21.151,78.95961538461538
