,Driver,LapTime,LapNumber,Stint,Compound,TyreLife,LapNumber,Sector1Time,Sector2Time,Sector3Time,LapTime(s),Sector1Time(s),Sector2Time(s),Sector3Time(s),RollingAverageLap
108,GAS,0 days 00:01:18.015000,31.0,1.0,HARD,31.0,31.0,0 days 00:00:20.233000,0 days 00:00:36.772000,0 days 00:00:21.010000,78.015,20.233,36.772,21.01,78.73093548387097
109,GAS,0 days 00:01:17.384000,32.0,1.0,HARD,32.0,32.0,0 days 00:00:20.253000,0 days 00:00:36.464000,0 days 00:00:20.667000,77.384,20.253,36.464,20.667,78.68884375
110,GAS,0 days 00:01:17.450000,33.0,1.0,HARD,33.0,33.0,0 days 00:00:20.235000,0 days 00:00:36.569000,0 days 00:00:20.646000,77.45,20.235,36.569,20.646,78.65130303030303
111,GAS,0 days 00:01:17.207000,34.0,1.0,HARD,34.0,34.0,0 days 00:00:20.214000,0 days 00:00:36.406000,0 days 00:00:20.587000,77.207,20.214,36.406,20.587,78.60882352941177
112,GAS,0 days 00:01:17.421000,35.0,1.0,HARD,35.0,35.0,0 days 00:00:20.158000,0 days 00:00:36.569000,0 days 00:00:20.694000,77.421,20.158,36.569,20.694,78.57488571428571
113,GAS,0 days 00:01:17.668000,36.0,1.0,HARD,36.0,36.0,0 days 00:00:20.130000,0 days 00:00:36.765000,0 days 00:00:20.773000,77.668,20.13,36.765,20.773,78.54969444444444
114,GAS,0 days 00:01:17.212000,37.0,1.0,HARD,37.0,37.0,0 days 00:00:20.143000,0 days 00:00:36.422000,0 days 00:00:20.647000,77.212,20.143,36.422,20.647,78.51354054054055
115,GAS,0 days 00:01:17.556000,38.0,1.0,HARD,38.0,38.0,0 days 00:00:20.106000,0 days 00:00:36.644000,0 days 00:00:20.806000,77.556,20.106,36.644,20.806,78.48834210526316
116,GAS,0 days 00:01:17.102000,39.0,1.0,HARD,39.0,39.0,0 days 00:00:20.107000,0 days 00:00:36.421000,0 days 00:00:20.574000,77.102,20.107,36.421,20.574,78.45279487179488
117,GAS,0 days 00:01:17.221000,40.0,1.0,HARD,40.0,40.0,0 days 00:00:20.143000,0 days 00:00:36.430000,0 days 00:00:20.648000,77.221,20.143,36.43,20.648,78.422
118,GAS,0 days 00:01:17.654000,41.0,1.0,HARD,41.0,41.0,0 days 00:00:20.164000,0 days 00:00:36.595000,0 days 00:00:20.895000,77.654,20.164,36.595,20.895,78.40326829268292
119,GAS,0 days 00:01:18.559000,42.0,1.0,HARD,42.0,42.0,0 days 00:00:20.837000,0 days 00:00:36.871000,0 days 00:00:20.851000,78.559,20.837,36.871,20.851,78.40697619047619
120,GAS,0 days 00:01:17.699000,43.0,1.0,HARD,43.0,43.0,0 days 00:00:20.244000,0 days 00:00:36.631000,0 days 00:00:20.824000,77.699,20.244,36.631,20.824,78.39051162790697
121,GAS,0 days 00:01:18.042000,44.0,1.0,HARD,44.0,44.0,0 days 00:00:20.224000,0 days 00:00:36.840000,0 days 00:00:20.978000,78.042,20.224,36.84,20.978,78.38259090909091
122,GAS,0 days 00:01:16.839000,45.0,1.0,HARD,45.0,45.0,0 days 00:00:19.995000,0 days 00:00:36.326000,0 days 00:00:20.518000,76.839,19.995,36.326,20.518,78.34828888888889
123,GAS,0 days 00:01:16.997000,46.0,1.0,HARD,46.0,46.0,0 days 00:00:19.978000,0 days 00:00:36.456000,0 days 00:00:20.563000,76.997,19.978,36.456,20.563,78.31891304347826
124,GAS,0 days 00:01:33.267000,47.0,1.0,HARD,47.0,47.0,0 days 00:00:19.997000,0 days 00:00:36.277000,0 days 00:00:36.993000,93.267,19.997,36.277,36.993,78.63695744680851
125,GAS,0 days 00:01:19.884000,48.0,2.0,MEDIUM,1.0,48.0,0 days 00:00:22.937000,0 days 00:00:36.318000,0 days 00:00:20.629000,79.884,22.937,36.318,20.629,78.6629375
126,GAS,0 days 00:01:15.831000,49.0,2.0,MEDIUM,2.0,49.0,0 days 00:00:19.843000,0 days 00:00:35.692000,0 days 00:00:20.296000,75.831,19.843,35.692,20.296,78.60514285714285
127,GAS,0 days 00:01:15.955000,50.0,2.0,MEDIUM,3.0,50.0,0 days 00:00:20.045000,0 days 00:00:35.628000,0 days 00:00:20.282000,75.955,20.045,35.628,20.282,78.55214
128,GAS,0 days 00:01:16.711000,51.0,2.0,MEDIUM,4.0,51.0,0 days 00:00:19.878000,0 days 00:00:36.405000,0 days 00:00:20.428000,76.711,19.878,36.405,20.428,78.51603921568626
129,GAS,0 days 00:01:22.349000,52.0,2.0,MEDIUM,5.0,52.0,0 days 00:00:20.396000,0 days 00:00:39.774000,0 days 00:00:22.179000,82.349,20.396,39.774,22.179,78.58975
